account_id,creative_id,ad_id,creative_name,url_link
1364548356917542,23844357685730048,23845041380350048,Next Gen Patient Care 2020-03-02-af9bb903063a1b4ddb7d3241a2edd935,https://www.vmware.com/it-priorities/empower-digital-workspace.html?src=sp_5e59691b0ae46&cid=7012H000000wiUWQAY
1364548356917542,23844677177070048,23844661561970048,Three Ways to Scale 2020-05-07-2ae355766d14e02e56ab47da0eb9b38b,https://fb.me/
1364548356917542,23844661175450048,23844661117140048,{{product.name}} 2020-05-04-a1a3c7f9e77fb81acbe20a6131e1726b,
1364548356917542,23844685258470048,23844685245230048,New Forrester Study 2020-05-08-3115efab70abe6befc1849a1f40ba5ed,https://fb.me/
1364548356917542,23844685263920048,23844685245280048,Lower cost. Greater agility. 2020-05-08-4e17ad843c7859c89b0cc057cd8a6a43,https://fb.me/
1364548356917542,23844686079140048,23844685245240048,HCI Workload Resource Kit 2020-05-08-83f1728734d1725ae44faef4ddb5d11d,https://fb.me/
1364548356917542,23844685302270048,23844685245220048,Why Consolidate on HCI 2020-05-08-08b7381da90a0b21b5dfe4f471f02a2e,https://fb.me/
1364548356917542,23845057382090048,23845057070620048,Enabling Remote Employees 2020-07-06-bdeaabcc347cde77e37dcbc709c7f3fa,https://fb.me/
1364548356917542,23845057384270048,23845057069080048,Enabling Remote Employees 2020-07-06-6d92ee3dabb67de4a87ae6e1ed6691ba,https://fb.me/
1364548356917542,23845057385770048,23845057060920048,Enabling Remote Employees 2020-07-06-79446dbdea72c51ee7bf10f033230279,https://fb.me/
1364548356917542,23845089757900048,23845089723870048,VMware 2020-07-12-65c9b4c81a1050e233b5dfa28d067082,https://fb.me/
1364548356917542,23845089779970048,23845089766250048,VMware 2020-07-12-e42da69945961bba8e5f380fb5970f79,https://fb.me/
348904889149594,23843501868250741,23843451057630741,Modern and Secure Hybrid Cloud Platform 2019-07-02-d57373905b64c2c87491fe0f5f950568,https://www.vmware.com/learn/51116_REG1.html?src=sp_5ceef1fa55ab1&cid=7012H000001dCF6
348904889149594,23843522579240741,23843487279920741,{{product.name}} 2019-07-12-3615354857833b64c6e25d82277ebe4f,
348904889149594,23843487052200741,23843434869280741,Try vSphere Platinum 2019-06-25-4c5db58211bab0c7e94cf4a1e63d0008,https://my.vmware.com/en/web/vmware/evalcenter?p=vsphere-platinum-19-new-hol&src=sp_5ceef04c88eb3&cid=7012H000001dCF1
348904889149594,23843487055280741,23843434822680741,Upgrade to vSphere 6.7 2019-06-25-38129a4eaf22b7031fa9cef9882c35ca,https://www.vmware.com/learn/48980_DMD-ebook_REG1.html?src=sp_5ceeee8c05208&cid=7012H000001dCEr
832304637135723,23843538569950320,23843468233110320,{{product.name}} 2019-06-26-9e5c79f992668d7751c1473c6d8c9bdb,
832304637135723,23843479468150320,23843479467500320,{{product.name}} 2019-05-28-b23048fb8965874fcee884116b2d47fd,
832304637135723,23843479468130320,23843479467510320,{{product.name}} 2019-05-28-a03dfe2f14cc34a6a6fac8c72934b734,
832304637135723,23843471169160320,23843470478390320,{{product.name}} 2019-05-23-e70d3ae92adedc26949c86d9509463c6,
2476958155648379,23843647038300230,23843647027660230,VMworld 2019 schedule builder is now live 2019-07-16-c9101dbcc23fe035cd1d072c994a4579,https://www.vmworld.com/en/us/index.html?src=sp_5d2dfe82e6529&cid=7012H000001OKLH
2476958155648379,23843647012780230,23843646997250230,VMworld 2019 schedule builder is now live 2019-07-16-203a15bf5ba525ac014c439d11c1b21c,https://www.vmworld.com/en/us/index.html?src=sp_5d2dfe82e6529&cid=7012H000001OKLH
2476958155648379,23843634478030230,23843634448110230,www.vmworld.com 2019-07-11-535b1bf3468db7f99ca23b685a774a24,https://www.vmworld.com/en/us/index.html?src=sp_5d0bfc04b78b1&cid=7012H000001OKLH
2476958155648379,23843573600840230,23843573600620230,"VMworld 2019 US | San Francisco, August 25 - 29 | VMware 2019-06-20-98e83d5fd1de7284bff9c47020a309e4",https://www.vmworld.com/en/us/index.html?src=sp_5d0bfc04b78b1&cid=7012H000001OKLH
2476958155648379,23843573608280230,23843573601170230,"VMworld 2019 US | San Francisco, August 25 - 29 | VMware 2019-06-20-8a7e532f30d48965072401a67c6848be",https://www.vmworld.com/en/us/index.html?src=sp_5d0bfe19c50cc&cid=7012H000001OKHK
289544855255701,23843726859000789,23843708812960789,VMworld 2019 US San Francisco 2019-07-16-7dc3eee07b2f586f09db7991973f0123,https://www.vmworld.com/en/us/index.html?src=sp_5d2e0af21d6f6&cid=7012H000001dDFi
289544855255701,23843726905140789,23843708782660789,VMworld 2019 US San Francisco 2019-07-16-eddce6e9ef906ed2476d1741ca0ec71f,https://www.vmworld.com/en/us/index.html?src=sp_5d2e0dbecaddf&cid=7012H000001dDFd
289544855255701,23843652432060789,23843652319010789,Register to receive exclusive gift. 2019-06-13-e1558c56e7bd7bb6efe6eb9f5ff8d11f,https://www.vmworld.com/en/us/index.html?src=sp_5ce445b954cce&cid=7012H000001OKLH
289544855255701,23843652114120789,23843597930380789,{{product.name}} 2019-06-13-cb19d67193cbf25f6be0afaf9c8519f6,
289544855255701,23843637305870789,23843631235670789,{{product.name}} 2019-06-07-d721c02b60cecb269708602321af58e7,
289544855255701,23843593246030789,23843584714790789,VMware 2019-05-19-40912b0e073bd9a7e5c22e2f88871a22,https://www.vmworld.com/en/us/index.html?src=sp_5cdb21c266ee3&cid=7012H000001OKHK
289544855255701,23843597883820789,23843584711190789,{{product.name}} 2019-05-21-c26084047f6cc7f38fc33c8bc258c582,
288709208635057,23843634654390642,23843632383610642,Register before it's too late! 2019-08-09-a30d3ed0d40233d696e4dc321f84463b,https://www.vmworld.com/en/us/index.html?src=sp_5d4ddf46167c7&cid=7012H000001OKLH
288709208635057,23843634653830642,23843632383600642,Registration closes soon! 2019-08-09-c4c9530f951e545dbe2c8d8243c29e00,https://www.vmworld.com/en/us/index.html?src=sp_5d4ddf46167c7&cid=7012H000001OKLH
288709208635057,23843617587160642,23843617583160642,VMworld 2019 schedule builder is now live 2019-08-01-e0576a9b2c764ef179e741aec80c6529,https://www.vmworld.com/en/us/index.html?src=sp_5d2dfe82e6529&cid=7012H000001OKLH
288709208635057,23843617588580642,23843617561650642,VMworld 2019 schedule builder is now live 2019-08-01-79b9c56ae79b57e77eb3f6ef265ef18f,https://www.vmworld.com/en/us/index.html?src=sp_5ce445b954cce&cid=7012H000001OKLH
288709208635057,23843617587560642,23843612156240642,VMworld 2019 schedule builder is now live 2019-08-01-199ac50c1c9ce65bdd8468e053f1972e,https://www.vmworld.com/en/us/index.html?src=sp_5d2dfe82e6529&cid=7012H000001OKLH
