account_currency,account_id,account_name,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,ctr,date_start,date_stop,impressions,spend,unique_clicks
USD,2476958155648379,AOM VMworld (Offer 2 and 3),23843647027660230,Schedule Builder + CODE (FB) - Ad2,23843573600570230,"Facebook - Retargeting VMworld visitors US, CA, Latam",23843573600550230,VMworld Offer 2 and 3 (PO 253323_$10k),55,1.169218,2019-07-16,2019-07-16,4704,125.45,49
USD,2476958155648379,AOM VMworld (Offer 2 and 3),23843647027660230,Schedule Builder + CODE (FB) - Ad2,23843573600570230,"Facebook - Retargeting VMworld visitors US, CA, Latam",23843573600550230,VMworld Offer 2 and 3 (PO 253323_$10k),86,1.186862,2019-07-17,2019-07-17,7246,159.55,76
USD,2476958155648379,AOM VMworld (Offer 2 and 3),23843647027660230,Schedule Builder + CODE (FB) - Ad2,23843573600570230,"Facebook - Retargeting VMworld visitors US, CA, Latam",23843573600550230,VMworld Offer 2 and 3 (PO 253323_$10k),101,1.355523,2019-07-18,2019-07-18,7451,173.6,89
USD,2476958155648379,AOM VMworld (Offer 2 and 3),23843647027660230,Schedule Builder + CODE (FB) - Ad2,23843573600570230,"Facebook - Retargeting VMworld visitors US, CA, Latam",23843573600550230,VMworld Offer 2 and 3 (PO 253323_$10k),119,1.225919,2019-07-19,2019-07-19,9707,222.7,100
USD,2476958155648379,AOM VMworld (Offer 2 and 3),23843647027660230,Schedule Builder + CODE (FB) - Ad2,23843573600570230,"Facebook - Retargeting VMworld visitors US, CA, Latam",23843573600550230,VMworld Offer 2 and 3 (PO 253323_$10k),63,1.209677,2019-07-20,2019-07-20,5208,101.16,54
USD,2476958155648379,AOM VMworld (Offer 2 and 3),23843646997250230,Schedule Builder + CODE (FB) - Ad1,23843573600570230,"Facebook - Retargeting VMworld visitors US, CA, Latam",23843573600550230,VMworld Offer 2 and 3 (PO 253323_$10k),46,1.440651,2019-07-16,2019-07-16,3193,130.35,41
USD,2476958155648379,AOM VMworld (Offer 2 and 3),23843646997250230,Schedule Builder + CODE (FB) - Ad1,23843573600570230,"Facebook - Retargeting VMworld visitors US, CA, Latam",23843573600550230,VMworld Offer 2 and 3 (PO 253323_$10k),94,1.549365,2019-07-17,2019-07-17,6067,239.45,81
USD,2476958155648379,AOM VMworld (Offer 2 and 3),23843646997250230,Schedule Builder + CODE (FB) - Ad1,23843573600570230,"Facebook - Retargeting VMworld visitors US, CA, Latam",23843573600550230,VMworld Offer 2 and 3 (PO 253323_$10k),77,1.617647,2019-07-18,2019-07-18,4760,198.34,66
USD,2476958155648379,AOM VMworld (Offer 2 and 3),23843646997250230,Schedule Builder + CODE (FB) - Ad1,23843573600570230,"Facebook - Retargeting VMworld visitors US, CA, Latam",23843573600550230,VMworld Offer 2 and 3 (PO 253323_$10k),63,2.170169,2019-07-19,2019-07-19,2903,185.16,55
USD,2476958155648379,AOM VMworld (Offer 2 and 3),23843646997250230,Schedule Builder + CODE (FB) - Ad1,23843573600570230,"Facebook - Retargeting VMworld visitors US, CA, Latam",23843573600550230,VMworld Offer 2 and 3 (PO 253323_$10k),40,2.016129,2019-07-20,2019-07-20,1984,130.64,37
