account_currency,account_id,account_name,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,ctr,date_start,date_stop,impressions,spend,unique_clicks
USD,29260256,Global AOM Ad Account,6140660299740,8 Common Pitfalls of VDI and How to Avoid Them,6140660299540,Instagram profile,6140660299340,20Q2 EDW campaign (PO 250794_$3k),36,1.333827,2019-07-02,2019-07-02,2699,68.66,36
USD,29260256,Global AOM Ad Account,6140660299740,8 Common Pitfalls of VDI and How to Avoid Them,6140660299540,Instagram profile,6140660299340,20Q2 EDW campaign (PO 250794_$3k),37,1.004343,2019-07-03,2019-07-03,3684,96.44,37
USD,29260256,Global AOM Ad Account,6140660299740,8 Common Pitfalls of VDI and How to Avoid Them,6140660299540,Instagram profile,6140660299340,20Q2 EDW campaign (PO 250794_$3k),50,1.328374,2019-07-04,2019-07-04,3764,96.21,47
USD,29260256,Global AOM Ad Account,6140660299740,8 Common Pitfalls of VDI and How to Avoid Them,6140660299540,Instagram profile,6140660299340,20Q2 EDW campaign (PO 250794_$3k),50,1.424501,2019-07-05,2019-07-05,3510,98.62,49
USD,29260256,Global AOM Ad Account,6140660299740,8 Common Pitfalls of VDI and How to Avoid Them,6140660299540,Instagram profile,6140660299340,20Q2 EDW campaign (PO 250794_$3k),39,1.099521,2019-07-06,2019-07-06,3547,100.32,38
USD,29260256,Global AOM Ad Account,6140660299740,8 Common Pitfalls of VDI and How to Avoid Them,6140660299540,Instagram profile,6140660299340,20Q2 EDW campaign (PO 250794_$3k),52,1.433692,2019-07-07,2019-07-07,3627,99.62,49
USD,29260256,Global AOM Ad Account,6140660299740,8 Common Pitfalls of VDI and How to Avoid Them,6140660299540,Instagram profile,6140660299340,20Q2 EDW campaign (PO 250794_$3k),50,1.416832,2019-07-08,2019-07-08,3529,98.35,50
USD,29260256,Global AOM Ad Account,6140660299740,8 Common Pitfalls of VDI and How to Avoid Them,6140660299540,Instagram profile,6140660299340,20Q2 EDW campaign (PO 250794_$3k),56,1.504567,2019-07-09,2019-07-09,3722,102.7,53
USD,29260256,Global AOM Ad Account,6140660299740,8 Common Pitfalls of VDI and How to Avoid Them,6140660299540,Instagram profile,6140660299340,20Q2 EDW campaign (PO 250794_$3k),56,1.265251,2019-07-10,2019-07-10,4426,101.33,56
USD,29260256,Global AOM Ad Account,6140660299740,8 Common Pitfalls of VDI and How to Avoid Them,6140660299540,Instagram profile,6140660299340,20Q2 EDW campaign (PO 250794_$3k),55,1.281753,2019-07-11,2019-07-11,4291,99.48,53
