account_currency,account_id,account_name,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,ctr,date_start,date_stop,impressions,spend,unique_clicks
USD,831523717259064,AOM Odyssey 21Q1,23844446478800428,Traffic Ad,23844446478710428,Kubernetes Odyssey Traffic,23844446478680428,Odyssey Kubernetes Traffic,890,1.541873,2020-04-07,2020-04-07,57722,147.42,831
USD,831523717259064,AOM Odyssey 21Q1,23844446478800428,Traffic Ad,23844446478710428,Kubernetes Odyssey Traffic,23844446478680428,Odyssey Kubernetes Traffic,172,0.348658,2020-04-08,2020-04-08,49332,196,157
USD,831523717259064,AOM Odyssey 21Q1,23844446478800428,Traffic Ad,23844446478710428,Kubernetes Odyssey Traffic,23844446478680428,Odyssey Kubernetes Traffic,238,0.351567,2020-04-09,2020-04-09,67697,246.96,220
USD,831523717259064,AOM Odyssey 21Q1,23844446478800428,Traffic Ad,23844446478710428,Kubernetes Odyssey Traffic,23844446478680428,Odyssey Kubernetes Traffic,293,0.348279,2020-04-10,2020-04-10,84128,239.51,265
USD,831523717259064,AOM Odyssey 21Q1,23844446478800428,Traffic Ad,23844446478710428,Kubernetes Odyssey Traffic,23844446478680428,Odyssey Kubernetes Traffic,250,0.38993,2020-04-11,2020-04-11,64114,247.72,223
USD,831523717259064,AOM Odyssey 21Q1,23844446478800428,Traffic Ad,23844446478710428,Kubernetes Odyssey Traffic,23844446478680428,Odyssey Kubernetes Traffic,253,0.33906,2020-04-12,2020-04-12,74618,243,231
USD,831523717259064,AOM Odyssey 21Q1,23844446478800428,Traffic Ad,23844446478710428,Kubernetes Odyssey Traffic,23844446478680428,Odyssey Kubernetes Traffic,243,0.327723,2020-04-13,2020-04-13,74148,238.41,226
USD,831523717259064,AOM Odyssey 21Q1,23844446478800428,Traffic Ad,23844446478710428,Kubernetes Odyssey Traffic,23844446478680428,Odyssey Kubernetes Traffic,215,0.271701,2020-04-14,2020-04-14,79131,253.58,194
USD,831523717259064,AOM Odyssey 21Q1,23844446478800428,Traffic Ad,23844446478710428,Kubernetes Odyssey Traffic,23844446478680428,Odyssey Kubernetes Traffic,229,0.294458,2020-04-15,2020-04-15,77770,154.09,211
USD,831523717259064,AOM Odyssey 21Q1,23844446478800428,Traffic Ad,23844446478710428,Kubernetes Odyssey Traffic,23844446478680428,Odyssey Kubernetes Traffic,324,0.238156,2020-04-16,2020-04-16,136045,138.85,304
