account_currency,account_id,account_name,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,ctr,date_start,date_stop,impressions,spend,unique_clicks
USD,826876254484215,AOM 21Q1 VMC on AWS PO 300914,23844477018490236,Static Image,23844477018470236,Ad Set for Ad A,23844477018460236,VMC on AWS Awareness A/B Test Video x Static - Copy,792,0.758243,2020-03-27,2020-03-27,104452,46.59,769
USD,826876254484215,AOM 21Q1 VMC on AWS PO 300914,23844477018490236,Static Image,23844477018470236,Ad Set for Ad A,23844477018460236,VMC on AWS Awareness A/B Test Video x Static - Copy,3365,0.813793,2020-03-28,2020-03-28,413496,216.13,3218
USD,826876254484215,AOM 21Q1 VMC on AWS PO 300914,23844477018490236,Static Image,23844477018470236,Ad Set for Ad A,23844477018460236,VMC on AWS Awareness A/B Test Video x Static - Copy,3619,0.827768,2020-03-29,2020-03-29,437200,212.68,3457
USD,826876254484215,AOM 21Q1 VMC on AWS PO 300914,23844477018490236,Static Image,23844477018470236,Ad Set for Ad A,23844477018460236,VMC on AWS Awareness A/B Test Video x Static - Copy,3532,0.827098,2020-03-30,2020-03-30,427035,211.95,3378
USD,826876254484215,AOM 21Q1 VMC on AWS PO 300914,23844477018490236,Static Image,23844477018470236,Ad Set for Ad A,23844477018460236,VMC on AWS Awareness A/B Test Video x Static - Copy,3629,0.791323,2020-03-31,2020-03-31,458599,213.56,3454
USD,826876254484215,AOM 21Q1 VMC on AWS PO 300914,23844477018490236,Static Image,23844477018470236,Ad Set for Ad A,23844477018460236,VMC on AWS Awareness A/B Test Video x Static - Copy,3769,0.775066,2020-04-01,2020-04-01,486281,213.68,3624
USD,826876254484215,AOM 21Q1 VMC on AWS PO 300914,23844477018490236,Static Image,23844477018470236,Ad Set for Ad A,23844477018460236,VMC on AWS Awareness A/B Test Video x Static - Copy,3743,0.789389,2020-04-02,2020-04-02,474164,211.54,3579
USD,826876254484215,AOM 21Q1 VMC on AWS PO 300914,23844477018490236,Static Image,23844477018470236,Ad Set for Ad A,23844477018460236,VMC on AWS Awareness A/B Test Video x Static - Copy,3811,0.800627,2020-04-03,2020-04-03,476002,211.78,3650
USD,826876254484215,AOM 21Q1 VMC on AWS PO 300914,23844477018490236,Static Image,23844477018470236,Ad Set for Ad A,23844477018460236,VMC on AWS Awareness A/B Test Video x Static - Copy,3945,0.817076,2020-04-04,2020-04-04,482819,211.98,3762
USD,826876254484215,AOM 21Q1 VMC on AWS PO 300914,23844477018490236,Static Image,23844477018470236,Ad Set for Ad A,23844477018460236,VMC on AWS Awareness A/B Test Video x Static - Copy,4100,0.758346,2020-04-05,2020-04-05,540650,208.36,3923
USD,826876254484215,AOM 21Q1 VMC on AWS PO 300914,23844477018490236,Static Image,23844477018470236,Ad Set for Ad A,23844477018460236,VMC on AWS Awareness A/B Test Video x Static - Copy,3884,0.704699,2020-04-06,2020-04-06,551157,205.81,3732
