account_currency,account_id,account_name,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,ctr,date_start,date_stop,impressions,spend,unique_clicks
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,619,0.270836,2020-06-09,2020-06-09,228552,54.84,585
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,4349,0.200833,2020-06-10,2020-06-10,2165477,419.75,4002
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,2894,0.178131,2020-06-11,2020-06-11,1624646,258.01,2673
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,1427,0.270426,2020-06-23,2020-06-23,527685,357.89,1401
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,2660,0.235862,2020-06-24,2020-06-24,1127779,560.01,2594
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,412,0.150446,2020-06-25,2020-06-25,273852,629.59,405
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,421,0.157843,2020-06-26,2020-06-26,266720,870.24,413
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,354,0.178042,2020-06-27,2020-06-27,198829,616.62,347
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,288,0.150155,2020-06-28,2020-06-28,191802,625.05,282
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,301,0.150475,2020-06-29,2020-06-29,200033,607.33,295
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,401,0.142757,2020-06-30,2020-06-30,280897,628.7,395
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,321,0.222379,2020-07-01,2020-07-01,144348,459.76,312
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,407,0.221905,2020-07-02,2020-07-02,183412,609.74,393
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,427,0.282787,2020-07-03,2020-07-03,150997,634.07,422
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,444,0.305758,2020-07-04,2020-07-04,145213,629.61,440
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,441,0.253747,2020-07-05,2020-07-05,173795,616.62,433
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,486,0.196171,2020-07-06,2020-07-06,247743,615.25,480
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,532,0.211173,2020-07-07,2020-07-07,251926,616.25,530
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,441,0.190386,2020-07-08,2020-07-08,231635,606.6,437
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,424,0.223896,2020-07-09,2020-07-09,189374,610.2,421
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,439,0.270147,2020-07-10,2020-07-10,162504,618.92,436
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,449,0.270836,2020-07-11,2020-07-11,165783,619.03,440
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,438,0.247328,2020-07-12,2020-07-12,177093,614.67,435
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,439,0.218055,2020-07-13,2020-07-13,201325,598.02,433
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,445,0.248676,2020-07-14,2020-07-14,178948,596.77,436
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844703693790584,NSX Product page,23844703693780584,NSX Product page,23844604254850584,21Q2 Awareness Campaign,372,0.250165,2020-07-15,2020-07-15,148702,483.46,365
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844660492990584,VCF Product Page,23844660473670584,VCF Product page,23844604254850584,21Q2 Awareness Campaign,351,0.268976,2020-06-09,2020-06-09,130495,29.93,342
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844660492990584,VCF Product Page,23844660473670584,VCF Product page,23844604254850584,21Q2 Awareness Campaign,7735,0.249243,2020-06-10,2020-06-10,3103400,697.93,7156
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844660492990584,VCF Product Page,23844660473670584,VCF Product page,23844604254850584,21Q2 Awareness Campaign,4221,0.233134,2020-06-11,2020-06-11,1810543,355.23,4007
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844660492990584,VCF Product Page,23844660473670584,VCF Product page,23844604254850584,21Q2 Awareness Campaign,2567,0.220958,2020-06-15,2020-06-15,1161757,254.68,2468
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844660492990584,VCF Product Page,23844660473670584,VCF Product page,23844604254850584,21Q2 Awareness Campaign,5919,0.195985,2020-06-16,2020-06-16,3020132,475.73,5668
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844660492990584,VCF Product Page,23844660473670584,VCF Product page,23844604254850584,21Q2 Awareness Campaign,5483,0.183184,2020-06-17,2020-06-17,2993168,456.25,5242
USD,913508909165657,AOM Awareness 21Q2 PO 313307,23844660492990584,VCF Product Page,23844660473670584,VCF Product page,23844604254850584,21Q2 Awareness Campaign,5826,0.188953,2020-06-18,2020-06-18,3083302,466.87,5514
