account_currency,account_id,account_name,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,ctr,date_start,date_stop,impressions,spend,unique_clicks
USD,950356475315006,AOM Instagram Ads 3k PO 267195,23843930968090478,HCI Ad 1,23843930968050478,HCI For Dummies,23843930967970478,20Q2 Instagram (PO 267195_3K) - HCI Conversions,5,0.844595,2019-10-09,2019-10-09,592,18.19,5
USD,950356475315006,AOM Instagram Ads 3k PO 267195,23843930968090478,HCI Ad 1,23843930968050478,HCI For Dummies,23843930967970478,20Q2 Instagram (PO 267195_3K) - HCI Conversions,4,0.490798,2019-10-10,2019-10-10,815,12.88,4
USD,950356475315006,AOM Instagram Ads 3k PO 267195,23843930968090478,HCI Ad 1,23843930968050478,HCI For Dummies,23843930967970478,20Q2 Instagram (PO 267195_3K) - HCI Conversions,9,0.423131,2019-10-11,2019-10-11,2127,8.15,9
USD,950356475315006,AOM Instagram Ads 3k PO 267195,23843930968090478,HCI Ad 1,23843930968050478,HCI For Dummies,23843930967970478,20Q2 Instagram (PO 267195_3K) - HCI Conversions,65,0.803958,2019-10-12,2019-10-12,8085,38.48,60
USD,950356475315006,AOM Instagram Ads 3k PO 267195,23843930968090478,HCI Ad 1,23843930968050478,HCI For Dummies,23843930967970478,20Q2 Instagram (PO 267195_3K) - HCI Conversions,69,0.696196,2019-10-13,2019-10-13,9911,40.66,66
USD,950356475315006,AOM Instagram Ads 3k PO 267195,23843930968090478,HCI Ad 1,23843930968050478,HCI For Dummies,23843930967970478,20Q2 Instagram (PO 267195_3K) - HCI Conversions,21,0.578035,2019-10-14,2019-10-14,3633,17.41,20
USD,950356475315006,AOM Instagram Ads 3k PO 267195,23843930968090478,HCI Ad 1,23843930968050478,HCI For Dummies,23843930967970478,20Q2 Instagram (PO 267195_3K) - HCI Conversions,22,0.456337,2019-10-15,2019-10-15,4821,24.37,22
USD,950356475315006,AOM Instagram Ads 3k PO 267195,23843930968090478,HCI Ad 1,23843930968050478,HCI For Dummies,23843930967970478,20Q2 Instagram (PO 267195_3K) - HCI Conversions,3,0.193673,2019-10-16,2019-10-16,1549,8.52,3
USD,950356475315006,AOM Instagram Ads 3k PO 267195,23843930968020478,HCI Ad 2,23843930968050478,HCI For Dummies,23843930967970478,20Q2 Instagram (PO 267195_3K) - HCI Conversions,22,0.715215,2019-10-09,2019-10-09,3076,66.79,21
USD,950356475315006,AOM Instagram Ads 3k PO 267195,23843930968020478,HCI Ad 2,23843930968050478,HCI For Dummies,23843930967970478,20Q2 Instagram (PO 267195_3K) - HCI Conversions,30,0.69029,2019-10-10,2019-10-10,4346,55.08,29
USD,950356475315006,AOM Instagram Ads 3k PO 267195,23843930968020478,HCI Ad 2,23843930968050478,HCI For Dummies,23843930967970478,20Q2 Instagram (PO 267195_3K) - HCI Conversions,80,0.659848,2019-10-11,2019-10-11,12124,51.82,79
USD,950356475315006,AOM Instagram Ads 3k PO 267195,23843930968020478,HCI Ad 2,23843930968050478,HCI For Dummies,23843930967970478,20Q2 Instagram (PO 267195_3K) - HCI Conversions,29,0.448223,2019-10-12,2019-10-12,6470,22.03,29
