account_currency,account_id,account_name,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,ctr,date_start,date_stop,impressions,spend,unique_clicks
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,30,0.860585,2019-06-07,2019-06-07,3486,30.49,27
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,81,0.537135,2019-06-08,2019-06-08,15080,116.53,76
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,62,0.476081,2019-06-09,2019-06-09,13023,96.94,61
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,63,0.459117,2019-06-10,2019-06-10,13722,102.34,62
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,55,0.434233,2019-06-11,2019-06-11,12666,97.75,49
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,70,0.546235,2019-06-12,2019-06-12,12815,101.52,68
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,51,0.412722,2019-06-13,2019-06-13,12357,99.25,49
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,34,0.285858,2019-06-14,2019-06-14,11894,98.28,33
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,54,0.436293,2019-06-15,2019-06-15,12377,103.92,50
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,60,0.438084,2019-06-16,2019-06-16,13696,99.53,57
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,57,0.421847,2019-06-17,2019-06-17,13512,98.17,53
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,43,0.349878,2019-06-18,2019-06-18,12290,96.89,41
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,62,0.506536,2019-06-19,2019-06-19,12240,99.01,59
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,43,0.348771,2019-06-20,2019-06-20,12329,101.54,42
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,59,0.473136,2019-06-21,2019-06-21,12470,99.76,55
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,53,0.427661,2019-06-22,2019-06-22,12393,105.1,47
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,39,0.332311,2019-06-23,2019-06-23,11736,96.28,37
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,50,0.427131,2019-06-24,2019-06-24,11706,96.78,46
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,138,0.700543,2019-06-25,2019-06-25,19699,118.68,129
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,738,1.260612,2019-06-26,2019-06-26,58543,92.19,710
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,1493,1.17065,2019-06-27,2019-06-27,127536,99.75,1387
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,1570,1.177909,2019-06-28,2019-06-28,133287,98.9,1474
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,1578,0.984902,2019-06-29,2019-06-29,160219,97.42,1484
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,1773,1.102077,2019-06-30,2019-06-30,160878,101.24,1655
USD,348904889149594,vSphere Platinum,23843451057630741,Mod and Sec Hybrid Cloud Dummies,23843451057600741,Dummies Guide,23843434822640741,vSphere Upgrade ebook & Platinum HOL,2082,1.368494,2019-07-01,2019-07-01,152138,100.51,1954
